,Pop.Density(persq.mi.),Coastline(coast/arearatio),Netmigration,Infantmortality(per1000births),GDP($percapita),Literacy(%),Phones(per1000),Arable(%),Crops(%),Other(%),Climate,Birthrate,Deathrate,Agriculture,Industry,Service,Population,Area(sq.mi.)
180,61.1,0.2700000000000001,0.2,55.51,1600.0,40.2,22.2,12.78,0.21000000000000005,87.01,2.0,32.78,9.42,0.17200000000000004,0.20900000000000005,0.6190000000000001,11987121,196190
182,179.2,107.91,-5.69,15.53,7800.0,58.0,262.4,2.22,13.33,84.45,2.0,16.03,6.29,0.03200000000000001,0.30400000000000005,0.6650000000000001,81541,455
183,83.7,0.56,0.0,143.64,500.0,31.4,4.0,6.98,0.8900000000000001,92.13,2.0,45.76,23.03,0.4900000000000001,0.31000000000000005,0.21000000000000005,6005250,71740
184,6482.2,27.85,11.53,2.29,23700.0,92.5,411.4,1.6400000000000001,0.0,98.36,2.0,9.34,4.28,0.0,0.3390000000000001,0.6610000000000001,4492150,693
188,13.9,0.4700000000000001,5.37,116.7,500.0,37.8,11.3,1.6700000000000002,0.04000000000000001,98.29,1.0,45.13,16.63,0.6500000000000001,0.1,0.25000000000000006,8863338,637657
189,36.2,0.23000000000000004,-0.29000000000000004,61.81,10700.0,86.4,107.0,12.08,0.7900000000000001,87.13,1.0,18.2,22.0,0.025000000000000005,0.30300000000000005,0.6710000000000002,44187637,1219912
190,80.0,0.9800000000000002,0.9900000000000002,4.42,22000.0,97.9,453.5,26.07,9.870000000000001,64.06,3.0,10.06,9.72,0.04000000000000001,0.2950000000000001,0.6650000000000001,40397842,504782
191,308.2,2.04,-1.31,14.35,3700.0,92.3,61.5,13.86,15.7,70.44,2.0,15.51,6.5200000000000005,0.17800000000000005,0.2760000000000001,0.5450000000000002,20222240,65610
192,16.5,0.030000000000000006,-0.020000000000000004,62.5,1900.0,61.1,16.3,6.83,0.18000000000000005,92.99,2.0,34.53,8.97,0.38700000000000007,0.20300000000000004,0.4100000000000001,41236378,2505810
193,2.7,0.24000000000000005,-8.81,23.57,4000.0,93.0,184.7,0.37000000000000005,0.06000000000000001,99.57,2.0,18.02,7.2700000000000005,0.13000000000000003,0.22000000000000003,0.6500000000000001,439117,163270
194,65.5,0.0,0.0,69.27,4900.0,81.6,30.8,10.35,0.7000000000000001,88.95,2.5,27.41,29.74,0.11900000000000002,0.5150000000000001,0.3660000000000001,1136334,17363
195,20.0,0.7200000000000002,1.6700000000000002,2.77,26800.0,99.0,715.0,6.54,0.010000000000000002,93.45,3.0,10.27,10.31,0.011000000000000003,0.2820000000000001,0.7070000000000002,9016596,449964
196,182.2,0.0,4.05,4.39,32700.0,99.0,680.9,10.42,0.6100000000000001,88.97,3.0,9.71,8.49,0.015000000000000003,0.3400000000000001,0.6450000000000001,7523934,41290
197,102.0,0.10000000000000002,0.0,29.53,3300.0,76.9,153.8,25.22,4.43,70.35,1.0,27.76,4.8100000000000005,0.24900000000000005,0.23000000000000004,0.5190000000000001,18881361,185180
198,640.3,4.35,0.0,6.4,23400.0,96.1,591.0,24.0,1.0,75.0,2.0,12.56,6.48,0.018000000000000006,0.25900000000000006,0.7230000000000002,23036087,35980
199,51.2,0.0,-2.8600000000000003,110.76,1000.0,99.4,33.5,6.61,0.9200000000000002,92.47,2.0,32.65,8.25,0.23400000000000007,0.2860000000000001,0.4800000000000001,7320815,143100
201,125.7,0.6300000000000001,0.0,20.48,7400.0,92.6,108.9,29.36,6.46,64.18,2.0,13.870000000000001,7.04,0.09900000000000002,0.4410000000000001,0.4600000000000001,64631595,514000
202,97.7,0.10000000000000002,0.0,66.61,1500.0,60.9,10.6,46.15,2.21,51.64,2.0,37.01,9.83,0.3950000000000001,0.20400000000000004,0.4010000000000001,5548702,56785
203,153.3,56.02,0.0,12.620000000000001,2200.0,98.5,97.7,23.61,43.06,33.33,2.0,25.37,5.28,0.23000000000000004,0.2700000000000001,0.5,114689,748
204,207.9,7.06,-10.83,24.31,9500.0,98.6,303.5,14.620000000000001,9.16,76.22,2.0,12.9,10.57,0.007000000000000002,0.5700000000000001,0.4230000000000001,1065842,5128
205,62.2,0.7000000000000002,-0.5700000000000001,24.77,6900.0,74.2,123.6,17.86,13.74,68.4,3.0,15.52,5.13,0.13200000000000003,0.31800000000000006,0.5500000000000002,10175014,163610
206,90.2,0.9200000000000002,0.0,41.04,6700.0,86.5,269.5,30.93,3.31,65.76,3.0,16.62,5.970000000000001,0.11700000000000003,0.2980000000000001,0.5850000000000002,70413958,780580
207,10.3,0.0,-0.8600000000000002,73.08,5800.0,98.0,74.6,3.72,0.14,96.14,1.0,27.61,8.6,0.20900000000000005,0.38000000000000006,0.4110000000000001,5042920,488100
210,119.5,0.0,0.0,67.83,1400.0,69.9,3.6,25.88,10.65,63.47,2.0,47.35,12.24,0.31100000000000005,0.22200000000000006,0.46900000000000014,28195754,236040
211,77.4,0.4600000000000001,-0.39000000000000007,20.34,5400.0,99.7,259.9,56.21,1.61,42.18,3.0,8.82,14.39,0.18700000000000006,0.4520000000000001,0.3610000000000001,46710816,603700
212,31.4,1.59,1.03,14.51,23200.0,77.9,475.3,0.6000000000000001,2.25,97.15,1.0,18.96,4.4,0.04000000000000001,0.5850000000000002,0.3750000000000001,2602713,82880
213,247.6,5.08,2.19,5.16,27700.0,99.0,543.5,23.46,0.21000000000000005,76.33,3.0,10.71,10.13,0.005000000000000001,0.23700000000000004,0.7580000000000002,60609153,244820
214,31.0,0.21000000000000005,3.41,6.5,37800.0,97.0,898.0,19.13,0.22000000000000003,80.65,3.0,14.14,8.26,0.010000000000000002,0.20400000000000004,0.7870000000000001,298444215,9631420
215,19.5,0.37000000000000005,-0.32000000000000006,11.95,12800.0,98.0,291.4,7.43,0.23000000000000004,92.34,3.0,13.91,9.05,0.09300000000000003,0.31100000000000005,0.5960000000000002,3431932,176220
216,61.0,0.0,-1.7200000000000002,71.1,1700.0,99.3,62.9,10.83,0.8300000000000002,88.34,1.0,26.36,7.84,0.3420000000000001,0.22900000000000006,0.4300000000000001,27307134,447400
217,17.1,20.72,0.0,55.16,2900.0,53.0,32.6,2.46,7.38,90.16,2.0,22.72,7.82,0.26000000000000006,0.12000000000000002,0.6200000000000001,208869,12200
218,28.2,0.31000000000000005,-0.04000000000000001,22.2,4800.0,93.4,140.1,2.95,0.9200000000000002,96.13,2.0,18.71,4.92,0.04000000000000001,0.4190000000000001,0.5410000000000001,25730435,912050
219,256.1,1.05,-0.45000000000000007,25.95,2500.0,90.3,187.7,19.97,5.95,74.08,2.0,16.86,6.22,0.20900000000000005,0.4100000000000001,0.3810000000000001,84402966,329560
224,40.6,0.3600000000000001,0.0,61.5,800.0,50.2,37.2,2.7800000000000002,0.24000000000000005,96.98,1.0,42.89,8.3,0.13500000000000004,0.4720000000000001,0.39300000000000007,21456188,527970
225,15.3,0.0,0.0,88.29,800.0,80.6,8.2,7.08,0.030000000000000006,92.9,2.0,41.0,19.93,0.22000000000000003,0.29000000000000004,0.4890000000000001,11502010,752614
226,31.3,0.0,0.0,67.69,1900.0,90.7,26.8,8.32,0.3400000000000001,91.34,2.0,28.01,21.84,0.17900000000000005,0.24300000000000005,0.5790000000000002,12236805,390580
